"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"23339",0.37511134,0.1703859,-1.4367337,-0.21026546,-0.4571781,0.37430656,-0.23016465,0.15155602,1.015485,0.47617108
"28428",-0.7227274,-0.99745214,-0.11625408,-0.38849908,-0.72120184,-1.0701332,-0.92095244,-0.36122078,1.9528768,1.8705115
"11040",0.6887749,-0.032999456,-0.97024083,2.5563054,-0.034632474,0.1611278,0.66603273,0.14942783,-1.1000935,-1.1424956
"8621",-0.18306324,0.10352266,-1.1538129,0.75651985,-0.38123724,-0.29314947,0.7601465,0.48076376,0.77710676,-0.7665955
"2708",1.1069264,-0.29007283,0.4141694,-0.6310095,-1.2796876,0.9160584,-0.37652218,2.6437123,-3.234956,0.105259255
"13170",2.2340577,-1.2306228,0.48183104,-0.6331539,-2.9026866,0.81785035,-1.2740766,2.8533082,-1.4697759,0.2120824
"10840",-1.354173,-0.14765796,0.92978036,-0.64333975,-0.55242944,1.2704188,-0.28135264,0.52658087,0.16114262,-1.40196
"10334",0.3667267,1.5796863,0.2942151,0.8853024,-0.5389129,-1.2399504,1.0944824,-0.42523557,-0.64970565,-1.0333986
"28332",-1.335679,0.9628339,2.0648005,0.22087759,-0.8592975,0.089202285,0.14237362,-0.060121655,0.2943394,-2.045518
"3976",0.43973196,0.66061366,-0.7234181,-0.11651823,0.26243106,-0.09368169,1.0157152,-0.028973162,0.06276569,-0.055949546
"16918",-0.6577796,0.18388563,-1.136361,-0.22161722,0.0033303797,0.06278694,-0.7008202,-0.17329913,0.46605965,-0.036708936
"4330",-0.31049973,2.2920437,0.47935686,1.16439,0.40883315,-1.1656427,-0.13758123,0.037561357,-0.57381535,-0.5725101
"3029",0.71753174,-1.3842175,0.72014904,-0.09526059,0.033155367,-0.86186546,1.5820701,-0.5417046,-0.6500894,0.96385014
"419",0.95761985,0.25296897,-0.5221776,0.62701863,-0.11779669,-0.6315199,0.57666785,-0.2557705,-0.5655714,-0.9408772
"16989",-1.0565305,-1.1696324,-0.31874293,0.3876089,-0.5272881,-1.1695747,-0.3343016,-0.85406095,0.54081464,1.3243877
"27949",0.63148576,0.1580466,-1.425447,0.1695618,-0.10310011,0.43848646,-0.71691406,-0.28107888,0.6901301,-0.06138359
"14767",-1.8073943,-0.023557186,1.1017091,0.2988029,-0.18962176,1.0493776,-0.3745594,-0.474526,0.5947565,-0.8481562
"9990",-0.66549325,-0.47047177,-0.32994756,0.44380084,-0.73881763,-0.58087695,0.5951056,0.40329936,1.6124504,1.633301
"20764",0.29545897,-0.3890949,-1.4789263,-0.8940611,-0.8856059,-0.69772965,1.422324,-0.37240583,0.4777477,-0.5191668
"14720",-1.393779,0.13969088,1.5369772,-0.9282868,-1.1290298,0.9807873,-1.5197082,-0.50176233,0.086868376,-0.4571244
"26258",0.5001789,-1.545091,2.4715614,0.8688474,0.39648867,0.030544698,-0.24248862,-1.1431267,0.041517645,-0.44897705
"5996",-0.09850106,-1.1873535,0.06682032,0.20677362,-0.61024106,-1.5512567,-0.5182637,-0.23694521,0.5351449,1.0647783
"13936",1.024426,-1.8682463,-0.62619334,-0.7064972,-0.30972612,2.3394074,0.13710618,2.6761377,-1.1004184,0.45109683
"10659",0.21159244,2.0651393,0.9338125,-0.19035444,-0.09193242,-1.2317275,1.0145674,-0.41276866,-0.113702714,-1.0667028
"14205",-0.14516652,-0.23750883,-0.58454674,1.0414009,-2.1015894,-0.87047714,2.3278117,-0.05742818,-0.014141738,-0.330862
"14024",-1.0836313,-0.13621607,1.614982,0.043871917,-0.5319655,0.011014938,0.16804805,-0.4272235,0.6063174,-1.5988753
"3186",0.060830176,-0.49482992,1.24493,-0.53993064,0.9204475,0.39453566,0.0884226,0.30038023,0.21707043,-1.7660067
"29296",1.073668,0.61452687,-0.639893,-0.3309977,0.19115666,-0.9781498,-0.75155485,-0.3339365,-0.5172023,0.24183245
"3400",0.7058874,1.0674073,-0.070700616,0.13730489,1.0097654,-1.567516,0.65484303,-0.033069134,-0.6700034,-1.0760168
"26249",-0.23075867,0.5730605,-1.2470334,-0.2737904,-0.87733877,0.40878832,0.45235646,0.44321725,-0.950006,0.6428624
"28279",-1.7164035,-0.21606052,1.2518258,-0.87968844,-1.298496,1.5248784,0.021809518,-0.669324,-0.331127,0.07520507
"9536",1.2657025,-0.19052237,-0.58816576,0.8890328,0.05169931,-0.25472575,-0.027438045,-0.7699186,-0.39125252,-0.38274175
"26746",0.022598445,0.21524853,-0.6519991,-0.9343152,0.07852247,-1.0016603,-0.06543058,-0.22458416,1.247114,-1.1149735
"23844",0.87646765,0.31563193,-1.2628949,-0.35006252,1.1759562,-0.118264556,-0.043264568,0.76332086,1.8909702,-1.2600839
"16207",-0.95607454,0.16445577,1.743018,-0.37433785,0.4033001,0.4565841,-0.8281115,0.048789084,-0.41510755,-0.90174925
"5316",-0.8998859,-1.413033,1.0257436,0.9897448,0.14625809,-0.2119376,-0.44607615,0.75724155,0.78649604,-1.2617973
"28858",0.36870074,1.3246478,0.0723581,1.0293994,1.6938491,-1.3505461,-0.3569777,-0.3923177,0.018279135,0.5291452
"28306",-0.37223402,0.49273312,-1.4027822,0.07573124,0.9901543,0.4875598,-0.8119048,0.96820956,-0.44043386,0.70609987
"25419",1.7206349,0.5886754,0.28427014,-1.49433,2.1427412,0.83568144,1.6562757,-2.419477,-1.7021348,0.18658657
"9785",-0.2724538,0.015879214,-1.0432042,-0.18771687,-0.9643906,-0.26199526,1.3193448,0.77228236,0.00080543756,-0.2700215
"26630",0.24873495,-0.0431737,1.9106122,1.6405708,3.039827,-0.46532914,-0.3308853,0.0072268248,-0.11834541,1.0223391
"2367",-0.05231288,-1.274623,1.1832986,0.3545696,-0.33196896,1.1250535,-0.5211904,0.18223488,0.26091614,-1.4990399
"10411",-0.9212162,-0.0704121,0.46061793,0.8685522,0.6904509,0.14334655,0.6976577,0.048353314,0.49316195,-1.350447
"6712",-0.025639594,-0.15597317,-1.2840815,-0.042288914,-0.26015392,-0.84796363,0.18168601,0.36184174,0.70841503,0.11771412
"5366",-1.1444032,-0.5332972,0.8848845,-0.8490737,0.94404966,0.5793735,-0.66021454,0.43534577,0.068207294,-1.6785302
"12426",-1.836276,0.011513054,0.8614501,2.0658584,-0.15725479,1.021801,1.945236,1.5354526,0.78688765,-2.1686926
"22082",1.0169146,0.926442,-0.5268705,-0.5596617,0.6312192,-0.67834496,-1.3098415,-0.015556812,-0.95716953,-0.41512108
"14637",-0.8593911,1.2937809,0.10663438,-0.3446337,0.34845436,-1.1114599,-0.28005528,0.048707366,-1.2896682,-0.16083512
"9235",0.23046309,-1.1153657,0.3757412,-1.2505239,-0.7797268,-1.4669452,1.1099733,-0.99532694,-0.111590266,1.1569263
"13974",-1.2609763,0.63672173,1.890107,-0.6244408,-0.8725215,-0.13053393,0.11926198,1.0606083,-0.7179049,-1.8227444
"24108",0.36449647,0.97127604,-1.4515244,0.35679585,-0.11004711,0.25841153,0.058262825,-0.13361108,-0.610405,0.23193632
"17920",-0.6460551,1.6255354,0.9738493,0.6436836,1.8617492,2.3442888,0.6828727,-0.18064553,1.1964989,2.801465
"17038",-0.26722473,-1.770237,-0.58843523,-0.26818547,0.6568835,-0.5576714,-0.9924396,-0.17362899,0.26352683,1.3707683
"4468",0.5251766,0.48161364,-0.64547396,-1.2655371,-1.3561678,-0.28236437,-0.44357002,-0.27394003,0.105484754,0.44978327
